X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,U0,U1,U2
1.236745789647102356e-01,1.608721762895584106e-01,8.345635235309600830e-02,-2.567016184329986572e-01,8.017353713512420654e-02,6.000036746263504028e-02,3.977755308151245117e-01,-4.466088023036718369e-03,1.385644450783729553e-02,2.917328476905822754e-02,1.092825829982757568e-02,1.491082250140607357e-03,-9.218330681324005127e-02,-2.053023278713226318e-01,3.012821674346923828e-01,1.318719778061679948e-01,7.869386398901100435e-03,1.967346599725280143e+01
9.426759183406829834e-02,1.765186190605163574e-01,1.058011502027511597e-01,-2.466061711311340332e-01,9.007361531257629395e-02,4.939912632107734680e-02,3.726810514926910400e-01,-1.116728968918323517e-02,2.105255797505378723e-02,2.608682215213775635e-02,-8.174657821655273438e-03,2.063049323623999953e-04,-1.457196623086929321e-01,-1.923474371433258057e-01,2.954086661338806152e-01,1.423855953991740031e-01,8.461018069394600147e-03,2.115254517348650154e+01
1.078177839517593384e-01,1.783017516136169434e-01,9.930744767189025879e-02,-2.471633851528167725e-01,8.597944676876068115e-02,5.009602755308151245e-02,3.864170014858245850e-01,-8.731937035918235779e-03,1.940135098993778229e-02,2.663387358188629150e-02,5.670487880706787109e-03,8.844227413646876812e-04,-1.367079615592956543e-01,-1.905962526798248291e-01,2.981700897216796875e-01,1.524869402600619872e-01,9.023792894398800779e-03,2.255948223599699887e+01
8.085033297538757324e-02,1.908634901046752930e-01,1.078172028064727783e-01,-2.337439805269241333e-01,7.347112894058227539e-02,5.549619346857070923e-02,3.656900525093078613e-01,-1.145762577652931213e-02,1.948978751897811890e-02,-1.791237667202949524e-02,-7.602602243423461914e-03,6.658431375399231911e-04,-1.605203449726104736e-01,-1.696528196334838867e-01,2.818973064422607422e-01,1.621920229138689995e-01,9.559105154525300574e-03,2.389776288631340151e+01
9.490692615509033203e-02,1.967289149761199951e-01,1.042590439319610596e-01,-2.319238185882568359e-01,9.085708856582641602e-02,3.656243905425071716e-02,3.744417428970336914e-01,-1.270362082868814468e-02,2.421426586806774139e-02,2.656505629420280457e-02,6.301179528236389160e-03,6.103556370362639427e-04,-1.842286437749862671e-01,-1.767133176326751709e-01,2.825050055980682373e-01,1.715166266244100013e-01,1.006831542419400066e-02,2.517078856048510005e+01
8.864156901836395264e-02,1.994715183973312378e-01,9.652572125196456909e-02,-2.332620322704315186e-01,9.626294672489166260e-02,2.290794625878334045e-02,3.732162117958068848e-01,-1.421616319566965103e-02,2.387121506035327911e-02,4.458008706569671631e-02,-6.974190473556518555e-03,4.177074879407882690e-05,-2.043386548757553101e-01,-1.794388592243194580e-01,2.687357962131500244e-01,1.804755716108689956e-01,1.055268794334249943e-02,2.638171985835629840e+01
8.114910125732421875e-02,1.980848759412765503e-01,9.554281085729598999e-02,-2.237211167812347412e-01,9.589678049087524414e-02,1.988323777914047241e-02,3.581179082393646240e-01,-1.542996149510145187e-02,2.470908500254154205e-02,4.292848706245422363e-02,-8.742645382881164551e-03,-5.720369517803192139e-05,-2.109539806842803955e-01,-1.733002215623855591e-01,2.571257054805755615e-01,1.890832159621639863e-01,1.101343598558869943e-02,2.753358996397160041e+01
7.684630155563354492e-02,1.978961378335952759e-01,9.531673043966293335e-02,-2.194098532199859619e-01,9.683522582054138184e-02,1.590518653392791748e-02,3.505065441131591797e-01,-1.636801660060882568e-02,2.533658035099506378e-02,4.590917378664016724e-02,-1.154994964599609375e-02,-2.371919108554720879e-04,-2.177236378192901611e-01,-1.696376800537109375e-01,2.509252429008483887e-01,1.973533742572169958e-01,1.145171531126370004e-02,2.862928827815920130e+01
7.301528751850128174e-02,1.974522024393081665e-01,9.472349286079406738e-02,-2.144233286380767822e-01,9.604288637638092041e-02,1.268583536148071289e-02,3.429591953754425049e-01,-1.694736443459987640e-02,2.552561089396476746e-02,4.639120399951934814e-02,-1.334348320960998535e-02,-3.196069737896323204e-04,-2.223774790763854980e-01,-1.640736758708953857e-01,2.444340884685516357e-01,2.052992662655589995e-01,1.186862051622999958e-02,2.967155129057490015e+01
6.885071098804473877e-02,1.970136165618896484e-01,9.444589167833328247e-02,-2.095127105712890625e-01,9.538745880126953125e-02,9.342536330223083496e-03,3.350672125816345215e-01,-1.760226115584373474e-02,2.576471492648124695e-02,4.700804129242897034e-02,-1.563595235347747803e-02,-4.330705851316452026e-04,-2.274324297904968262e-01,-1.584381461143493652e-01,2.380429208278656006e-01,2.129335945961429999e-01,1.226519293477009928e-02,3.066298233692529962e+01
