3.977755308151245117e-01,-4.466088023036718369e-03,1.385644450783729553e-02,2.917328476905822754e-02,1.092825829982757568e-02,1.491082250140607357e-03,-9.218330681324005127e-02,-2.053023278713226318e-01,3.012821674346923828e-01
3.726810514926910400e-01,-1.116728968918323517e-02,2.105255797505378723e-02,2.608682215213775635e-02,-8.174657821655273438e-03,2.063049323623999953e-04,-1.457196623086929321e-01,-1.923474371433258057e-01,2.954086661338806152e-01
3.864170014858245850e-01,-8.731937035918235779e-03,1.940135098993778229e-02,2.663387358188629150e-02,5.670487880706787109e-03,8.844227413646876812e-04,-1.367079615592956543e-01,-1.905962526798248291e-01,2.981700897216796875e-01
3.656900525093078613e-01,-1.145762577652931213e-02,1.948978751897811890e-02,-1.791237667202949524e-02,-7.602602243423461914e-03,6.658431375399231911e-04,-1.605203449726104736e-01,-1.696528196334838867e-01,2.818973064422607422e-01
3.744417428970336914e-01,-1.270362082868814468e-02,2.421426586806774139e-02,2.656505629420280457e-02,6.301179528236389160e-03,6.103556370362639427e-04,-1.842286437749862671e-01,-1.767133176326751709e-01,2.825050055980682373e-01
3.732162117958068848e-01,-1.421616319566965103e-02,2.387121506035327911e-02,4.458008706569671631e-02,-6.974190473556518555e-03,4.177074879407882690e-05,-2.043386548757553101e-01,-1.794388592243194580e-01,2.687357962131500244e-01
3.581179082393646240e-01,-1.542996149510145187e-02,2.470908500254154205e-02,4.292848706245422363e-02,-8.742645382881164551e-03,-5.720369517803192139e-05,-2.109539806842803955e-01,-1.733002215623855591e-01,2.571257054805755615e-01
3.505065441131591797e-01,-1.636801660060882568e-02,2.533658035099506378e-02,4.590917378664016724e-02,-1.154994964599609375e-02,-2.371919108554720879e-04,-2.177236378192901611e-01,-1.696376800537109375e-01,2.509252429008483887e-01
3.429591953754425049e-01,-1.694736443459987640e-02,2.552561089396476746e-02,4.639120399951934814e-02,-1.334348320960998535e-02,-3.196069737896323204e-04,-2.223774790763854980e-01,-1.640736758708953857e-01,2.444340884685516357e-01
3.350672125816345215e-01,-1.760226115584373474e-02,2.576471492648124695e-02,4.700804129242897034e-02,-1.563595235347747803e-02,-4.330705851316452026e-04,-2.274324297904968262e-01,-1.584381461143493652e-01,2.380429208278656006e-01
3.273442685604095459e-01,-1.813162118196487427e-02,2.590186521410942078e-02,4.739247262477874756e-02,-1.747478544712066650e-02,-5.206788191571831703e-04,-2.317330539226531982e-01,-1.521989703178405762e-01,2.318699955940246582e-01
3.260884284973144531e-01,-1.828653551638126373e-02,2.594967931509017944e-02,4.770520329475402832e-02,-1.907485723495483398e-02,-6.004886236041784286e-04,-2.313935756683349609e-01,-1.529080867767333984e-01,2.319504022598266602e-01
3.245829045772552490e-01,-1.827871799468994141e-02,2.580323256552219391e-02,4.678736999630928040e-02,-1.863823831081390381e-02,-5.543850129470229149e-04,-2.322409003973007202e-01,-1.526127457618713379e-01,2.289709895849227905e-01
3.198907971382141113e-01,-1.861871965229511261e-02,2.580016851425170898e-02,4.639334231615066528e-02,-2.058976888656616211e-02,-6.377425743266940117e-04,-2.348085194826126099e-01,-1.507137417793273926e-01,2.248724699020385742e-01
3.152278363704681396e-01,-1.883404329419136047e-02,2.577123977243900299e-02,4.591278731822967529e-02,-2.152803540229797363e-02,-6.785742007195949554e-04,-2.367925047874450684e-01,-1.477722078561782837e-01,2.208873480558395386e-01
3.100676536560058594e-01,-1.907774433493614197e-02,2.570449933409690857e-02,4.558001458644866943e-02,-2.289603650569915771e-02,-7.362475153058767319e-04,-2.391400039196014404e-01,-1.441546529531478882e-01,2.165474444627761841e-01
3.043996691703796387e-01,-1.930041238665580750e-02,2.561561204493045807e-02,4.503590613603591919e-02,-2.422899007797241211e-02,-7.935405010357499123e-04,-2.414384931325912476e-01,-1.398019790649414062e-01,2.120416015386581421e-01
2.985480427742004395e-01,-1.950027979910373688e-02,2.550754882395267487e-02,4.456707462668418884e-02,-2.557003498077392578e-02,-8.545562159270048141e-04,-2.437243461608886719e-01,-1.350746750831604004e-01,2.075112462043762207e-01
2.957438528537750244e-01,-1.969223096966743469e-02,2.555955015122890472e-02,4.467822611331939697e-02,-2.687337994575500488e-02,-9.273352334275841713e-04,-2.445622086524963379e-01,-1.338907182216644287e-01,2.060367316007614136e-01
2.958366870880126953e-01,-1.968245580792427063e-02,2.560029923915863037e-02,4.469680786132812500e-02,-2.661629021167755127e-02,-9.217872284352779388e-04,-2.443107366561889648e-01,-1.341270804405212402e-01,2.062518298625946045e-01
2.928476929664611816e-01,-1.965437270700931549e-02,2.540022507309913635e-02,4.410387203097343445e-02,-2.658565342426300049e-02,-9.040575241670012474e-04,-2.456561177968978882e-01,-1.303342282772064209e-01,2.031985223293304443e-01
2.867371439933776855e-01,-1.982835680246353149e-02,2.520677074790000916e-02,4.342432320117950439e-02,-2.823506295680999756e-02,-9.706453420221805573e-04,-2.479468584060668945e-01,-1.250301599502563477e-01,1.985133886337280273e-01
2.808921337127685547e-01,-1.997368782758712769e-02,2.506806515157222748e-02,4.273669421672821045e-02,-2.947945147752761841e-02,-1.028167898766696453e-03,-2.497502565383911133e-01,-1.201271414756774902e-01,1.943073570728302002e-01
2.756191194057464600e-01,-2.007832378149032593e-02,2.490326017141342163e-02,4.214701801538467407e-02,-3.057420998811721802e-02,-1.075652544386684895e-03,-2.513438165187835693e-01,-1.155991777777671814e-01,1.903659701347351074e-01
2.745763063430786133e-01,-2.028897404670715332e-02,2.507694996893405914e-02,4.263709113001823425e-02,-3.179910778999328613e-02,-1.156857586465775967e-03,-2.515632510185241699e-01,-1.165542230010032654e-01,1.905715316534042358e-01
