X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403832786092433782e+00,-7.532823347626508292e-01,2.533465088069242199e+00,-3.807690804236130599e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403773589609058181e+00,-7.870146441983488783e-01,2.565831900706850632e+00,-3.795572801928964513e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403713330329555475e+00,-8.204334160856889824e-01,2.597424246396759617e+00,-3.783325855262126503e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403652204589659114e+00,-8.535305071176541025e-01,2.628252370451497733e+00,-3.770953068980506195e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403590438108596405e+00,-8.862943020875665434e-01,2.658326293665679074e+00,-3.758457598032861835e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403528168099129836e+00,-9.187206066710446040e-01,2.687656096599772226e+00,-3.745842391962062479e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403465549704551840e+00,-9.508030043783408658e-01,2.716251667795815283e+00,-3.733110421293420078e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403402726182932270e+00,-9.825355999146477837e-01,2.744122775418639915e+00,-3.720264613119437236e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403339829426472729e+00,-1.013913019423109851e+00,2.771279067255903339e+00,-3.707307851099804097e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403277004547873297e+00,-1.044927250146683972e+00,2.797730477490376622e+00,-3.694243069499219434e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403214366457298912e+00,-1.075573189947517827e+00,2.823486511919325537e+00,-3.681073087944051636e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403152013056684133e+00,-1.105847183976874204e+00,2.848556436855912199e+00,-3.667800655092661621e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403090040756738599e+00,-1.135745029563810071e+00,2.872949535864723902e+00,-3.654428507987641961e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403028537331799441e+00,-1.165262957978519864e+00,2.896674983369472933e+00,-3.640959342836396662e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.402967582920984224e+00,-1.194397166502588981e+00,2.919741902047925830e+00,-3.627395831319376818e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.402907251519416310e+00,-1.223142280118012515e+00,2.942159551424457398e+00,-3.613740674176972423e+00
