X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
-2.255249023437500000e-02,-2.953082323074340820e-02,8.121848106384277344e-03,1.762814819812774658e-01,-2.461552619934082031e+00,6.074171066284179688e-01,5.936030745506286621e-01,-3.974941730499267578e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
-2.173125743865966797e-02,-2.699682116508483887e-02,6.447672843933105469e-03,1.750802099704742432e-01,-2.461396217346191406e+00,5.724360942840576172e-01,6.645384430885314941e-01,-3.976760149002075195e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
-2.091705799102783203e-02,-2.453917264938354492e-02,4.766345024108886719e-03,1.739074289798736572e-01,-2.460356235504150391e+00,5.374904274940490723e-01,7.340939044952392578e-01,-3.978801250457763672e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
-2.011287212371826172e-02,-2.215376496315002441e-02,3.081679344177246094e-03,1.727592051029205322e-01,-2.458526611328125000e+00,5.025687813758850098e-01,8.022838830947875977e-01,-3.980981826782226562e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
-1.932102441787719727e-02,-1.983666419982910156e-02,1.397013664245605469e-03,1.716326773166656494e-01,-2.456000804901123047e+00,4.676698446273803711e-01,8.691321015357971191e-01,-3.983244180679321289e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
-1.854383945465087891e-02,-1.758387684822082520e-02,-2.846717834472656250e-04,1.705242991447448730e-01,-2.452859163284301758e+00,4.327799975872039795e-01,9.346640110015869141e-01,-3.985518217086791992e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
-1.778370141983032227e-02,-1.539146900177001953e-02,-1.960039138793945312e-03,1.694310903549194336e-01,-2.449194431304931641e+00,3.978960812091827393e-01,9.989019632339477539e-01,-3.987743616104125977e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
-1.704192161560058594e-02,-1.325622200965881348e-02,-3.627300262451171875e-03,1.683504879474639893e-01,-2.445061683654785156e+00,3.630073666572570801e-01,1.061876058578491211e+00,-3.989872694015502930e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
-1.632106304168701172e-02,-1.117479801177978516e-02,-5.282640457153320312e-03,1.672802269458770752e-01,-2.440560340881347656e+00,3.281232714653015137e-01,1.123594284057617188e+00,-3.991854667663574219e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
-1.562231779098510742e-02,-9.143501520156860352e-03,-6.924271583557128906e-03,1.662164926528930664e-01,-2.435733556747436523e+00,2.932282686233520508e-01,1.184087276458740234e+00,-3.993614912033081055e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
-1.494652032852172852e-02,-7.159978151321411133e-03,-8.550524711608886719e-03,1.651586592197418213e-01,-2.430641889572143555e+00,2.583324313163757324e-01,1.243380784988403320e+00,-3.995143651962280273e+00,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
-1.429539918899536133e-02,-5.220711231231689453e-03,-1.015913486480712891e-02,1.641040742397308350e-01,-2.425355195999145508e+00,2.234255671501159668e-01,1.301504373550415039e+00,-3.996392250061035156e+00,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
-1.367008686065673828e-02,-3.323376178741455078e-03,-1.174819469451904297e-02,1.630508899688720703e-01,-2.419923067092895508e+00,1.885102987289428711e-01,1.358470559120178223e+00,-3.997321128845214844e+00,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
-1.307058334350585938e-02,-1.465886831283569336e-03,-1.331698894500732422e-02,1.619980037212371826e-01,-2.414371252059936523e+00,1.535924077033996582e-01,1.414306879043579102e+00,-3.997911691665649414e+00,-2.403984566334301576e+00,1.949481331581442989e-01,1.383680934647741445e+00,-4.066303291321023750e+00
-1.249837875366210938e-02,3.549456596374511719e-04,-1.486349105834960938e-02,1.609431505203247070e-01,-2.408764600753784180e+00,1.186644434928894043e-01,1.469041585922241211e+00,-3.998123884201049805e+00,-2.404076217787903147e+00,1.577344697195063317e-01,1.440166351897706143e+00,-4.058771821101398558e+00
-1.195359230041503906e-02,2.140223979949951172e-03,-1.638674736022949219e-02,1.598862707614898682e-01,-2.403132915496826172e+00,8.374303579330444336e-02,1.522684812545776367e+00,-3.997953891754150391e+00,-2.404155361582915873e+00,1.204078619414207796e-01,1.495570198153010955e+00,-4.051014800814850325e+00
-1.143676042556762695e-02,3.892362117767333984e-03,-1.788580417633056641e-02,1.588257849216461182e-01,-2.397511720657348633e+00,4.882359504699707031e-02,1.575265884399414062e+00,-3.997376918792724609e+00,-2.404222721102417193e+00,8.299366179802612764e-02,1.549906166685699249e+00,-4.043036511559652268e+00
-1.094853878021240234e-02,5.613476037979125977e-03,-1.935923099517822266e-02,1.577600538730621338e-01,-2.391937732696533203e+00,1.391065120697021484e-02,1.626799821853637695e+00,-3.996357440948486328e+00,-2.404279071837681414e+00,4.552264773498435751e-02,1.603187712508287843e+00,-4.034841476960782991e+00
