X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,U0,U1,U2
-1.364602297544479370e-01,-2.792799472808837891e-01,-5.510340631008148193e-02,8.207296952605247498e-03,-1.770010888576507568e-01,1.942628622055053711e-02,4.917533993721008301e-01,-6.406586151570081711e-03,5.887145176529884338e-03,1.236227061599493027e-02,-1.109948195517063141e-02,6.067201611585915089e-04,-1.539241820573806763e-01,-1.407978832721710205e-01,3.245439231395721436e-01,1.318719778061679948e-01,7.869386398901100435e-03,1.967346599725280143e+01
-1.175052970647811890e-01,-2.582918107509613037e-01,-6.025187671184539795e-02,-1.070863381028175354e-02,-1.296115219593048096e-01,1.304245740175247192e-02,4.036698043346405029e-01,-1.063657272607088089e-02,1.096195355057716370e-02,-2.694011852145195007e-02,4.107837565243244171e-03,3.752715128939598799e-04,-1.030376106500625610e-01,-1.463170647621154785e-01,3.105153739452362061e-01,1.423855953991740031e-01,8.461018069394600147e-03,2.115254517348650154e+01
-1.230003088712692261e-01,-2.623687982559204102e-01,-4.210412502288818359e-02,7.205050438642501831e-03,-1.458393037319183350e-01,9.378530085086822510e-03,4.145794510841369629e-01,-1.066661253571510315e-02,1.114833727478981018e-02,-3.540888894349336624e-03,-9.389488026499748230e-03,7.521635852754116058e-04,-1.427613049745559692e-01,-1.568688601255416870e-01,2.961072921752929688e-01,1.524869402600619872e-01,9.023792894398800779e-03,2.255948223599699887e+01
-1.213807463645935059e-01,-2.670860588550567627e-01,-4.182013869285583496e-02,8.511915802955627441e-05,-1.316838413476943970e-01,1.092445105314254761e-02,4.029015004634857178e-01,-1.033787429332733154e-02,1.069513987749814987e-02,-2.009640261530876160e-02,-9.896250441670417786e-03,3.668130375444889069e-04,-1.309824585914611816e-01,-1.705633997917175293e-01,3.015919923782348633e-01,1.621920229138689995e-01,9.559105154525300574e-03,2.389776288631340151e+01
-1.265225559473037720e-01,-2.621499896049499512e-01,-3.542256355285644531e-02,1.247815787792205811e-02,-1.358755528926849365e-01,7.676914334297180176e-03,3.983015716075897217e-01,-1.113465055823326111e-02,1.171430293470621109e-02,-1.103798765689134598e-02,-1.374135352671146393e-02,5.302526406012475491e-04,-1.558280885219573975e-01,-1.603124141693115234e-01,2.893067598342895508e-01,1.715166266244100013e-01,1.006831542419400066e-02,2.517078856048510005e+01
-1.143764257431030273e-01,-2.740972638130187988e-01,-2.502165734767913818e-02,4.692319780588150024e-03,-1.688219755887985229e-01,5.223058164119720459e-03,4.389190375804901123e-01,-9.707650169730186462e-03,1.129418518394231796e-02,2.377063035964965820e-02,-1.460979506373405457e-02,1.393568702042102814e-03,-1.441313475370407104e-01,-2.051226347684860229e-01,2.938941121101379395e-01,1.804755716108689956e-01,1.055268794334249943e-02,2.638171985835629840e+01
-1.317722946405410767e-01,-2.570491433143615723e-01,-4.368689656257629395e-02,2.884070202708244324e-02,-1.159216910600662231e-01,-8.969679474830627441e-04,3.773301243782043457e-01,-1.370226126164197922e-02,1.224986370652914047e-02,-3.873325139284133911e-02,-1.535694207996129990e-02,-3.749507595784962177e-04,-1.733333319425582886e-01,-1.302672624588012695e-01,2.715007960796356201e-01,1.890832159621639863e-01,1.101343598558869943e-02,2.753358996397160041e+01
-1.194291114807128906e-01,-2.530124187469482422e-01,-2.183914184570312500e-02,2.123904973268508911e-02,-1.406376659870147705e-01,-8.953660726547241211e-04,3.772009313106536865e-01,-1.325135957449674606e-02,1.473452243953943253e-02,5.412622354924678802e-03,-1.691830344498157501e-02,8.456931100226938725e-04,-1.680836081504821777e-01,-1.703820526599884033e-01,2.651776075363159180e-01,1.973533742572169958e-01,1.145171531126370004e-02,2.862928827815920130e+01
-1.257940232753753662e-01,-2.536868751049041748e-01,-3.269697725772857666e-02,3.481037542223930359e-02,-1.276422590017318726e-01,-5.738332867622375488e-03,3.742890059947967529e-01,-1.476684119552373886e-02,1.392991282045841217e-02,-1.862940005958080292e-02,-1.953162811696529388e-02,2.170121297240257263e-05,-1.822636425495147705e-01,-1.422688961029052734e-01,2.571114301681518555e-01,2.052992662655589995e-01,1.186862051622999958e-02,2.967155129057490015e+01
-1.219643279910087585e-01,-2.474645972251892090e-01,-2.412649989128112793e-02,3.477568179368972778e-02,-1.323477774858474731e-01,-7.295541465282440186e-03,3.629878759384155273e-01,-1.521506439894437790e-02,1.580582745373249054e-02,-4.737160168588161469e-03,-1.957042142748832703e-02,3.630718565545976162e-04,-1.845877766609191895e-01,-1.504552811384201050e-01,2.488524764776229858e-01,2.129335945961429999e-01,1.226519293477009928e-02,3.066298233692529962e+01
-1.232029274106025696e-01,-2.460999488830566406e-01,-2.616763114929199219e-02,4.263941943645477295e-02,-1.288498044013977051e-01,-1.023048907518386841e-02,3.589498698711395264e-01,-1.621349342167377472e-02,1.596590504050254822e-02,-1.050252281129360199e-02,-2.238000370562076569e-02,4.256272222846746445e-05,-1.932382881641387939e-01,-1.393289864063262939e-01,2.410758286714553833e-01,2.202685742053709927e-01,1.264242405431850041e-02,3.160606013579609908e+01
-1.207392662763595581e-01,-2.461843192577362061e-01,-2.506673336029052734e-02,3.831784427165985107e-02,-1.309120059013366699e-01,-9.730204939842224121e-03,3.597268164157867432e-01,-1.593857072293758392e-02,1.609766110777854919e-02,-6.956528406590223312e-03,-2.050433121621608734e-02,2.487110905349254608e-04,-1.865957230329513550e-01,-1.465501934289932251e-01,2.433278262615203857e-01,2.202685742053709927e-01,1.264242405431850041e-02,3.160606013579609908e+01
-1.225590854883193970e-01,-2.450339496135711670e-01,-2.369421720504760742e-02,4.458227008581161499e-02,-1.290719807147979736e-01,-1.194530725479125977e-02,3.553828895092010498e-01,-1.655960083007812500e-02,1.657601445913314819e-02,-8.692361414432525635e-03,-2.311093173921108246e-02,4.338833969086408615e-05,-1.966848224401473999e-01,-1.414060890674591064e-01,2.367730140686035156e-01,2.273159725375230034e-01,1.300125951098080046e-02,3.211380692069690213e+01
-1.202410459518432617e-01,-2.429184317588806152e-01,-2.179723978042602539e-02,4.504913091659545898e-02,-1.296640932559967041e-01,-1.375683397054672241e-02,3.507936000823974609e-01,-1.698114909231662750e-02,1.732818223536014557e-02,-5.983247421681880951e-03,-2.275765314698219299e-02,1.216408563777804375e-04,-1.962870061397552490e-01,-1.439879834651947021e-01,2.323260605335235596e-01,2.340870137674679885e-01,1.334259239593029930e-02,3.267109897546809805e+01
-1.207952424883842468e-01,-2.414031028747558594e-01,-2.102968096733093262e-02,4.972926527261734009e-02,-1.284346580505371094e-01,-1.556633412837982178e-02,3.462270796298980713e-01,-1.763972081243991852e-02,1.794094219803810120e-02,-6.770393811166286469e-03,-2.470753341913223267e-02,-1.313549000769853592e-05,-2.028325647115707397e-01,-1.395528465509414673e-01,2.268671989440917969e-01,2.405925691012449907e-01,1.366727916851370045e-02,3.326244794426820306e+01
-9.793590009212493896e-02,-2.537589371204376221e-01,-2.311760187149047852e-02,2.083785086870193481e-02,-1.623803675174713135e-01,-1.256190240383148193e-02,3.946585655212402344e-01,-1.546000968664884567e-02,1.569397374987602234e-02,2.636213041841983795e-02,-1.434652321040630341e-02,1.452743541449308395e-03,-1.458626240491867065e-01,-1.906543225049972534e-01,2.500823140144348145e-01,2.468430336932619928e-01,1.397613039571569959e-02,3.387414293363899986e+01
-1.383739411830902100e-01,-2.370346486568450928e-01,-2.729082107543945312e-02,7.875870913267135620e-02,-1.071640402078628540e-01,-2.118548750877380371e-02,3.240048885345458984e-01,-2.046874538064002991e-02,2.003556489944458008e-02,-3.690097481012344360e-02,-3.498732298612594604e-02,-1.783134415745735168e-03,-2.502445280551910400e-01,-9.030111134052276611e-02,2.086684405803680420e-01,2.528484022218029925e-01,1.426991782936000083e-02,3.449390242289390329e+01
-1.057577431201934814e-01,-2.294679284095764160e-01,-8.350908756256103516e-03,4.270417243242263794e-02,-1.384627819061279297e-01,-1.988797634840011597e-02,3.238350450992584229e-01,-1.894499361515045166e-02,2.242133766412734985e-02,2.072660252451896667e-02,-2.063429728150367737e-02,1.021803240291774273e-03,-1.891908198595046997e-01,-1.633784174919128418e-01,2.131682783365249634e-01,2.586182990371890256e-01,1.454937725435910024e-02,3.511069242768199672e+01
-1.255932301282882690e-01,-2.379979789257049561e-01,-2.423185110092163086e-02,7.026304304599761963e-02,-1.205708682537078857e-01,-2.164430171251296997e-02,3.324247896671295166e-01,-2.053405903279781342e-02,1.996593736112117767e-02,-1.848215237259864807e-02,-3.352859243750572205e-02,-8.429546141996979713e-04,-2.293318212032318115e-01,-1.115583330392837524e-01,2.095258235931396484e-01,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969507370323e+01
-1.133942827582359314e-01,-2.307700067758560181e-01,-1.359963417053222656e-02,5.198895186185836792e-02,-1.306221485137939453e-01,-2.124600112438201904e-02,3.232801556587219238e-01,-1.953686028718948364e-02,2.208303846418857574e-02,6.029781885445117950e-03,-2.333865128457546234e-02,4.080720245838165283e-04,-2.041918635368347168e-01,-1.445685923099517822e-01,2.107962220907211304e-01,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969507370323e+01
-1.209569424390792847e-01,-2.335149049758911133e-01,-1.922905445098876953e-02,6.720695644617080688e-02,-1.239781379699707031e-01,-2.231668680906295776e-02,3.239921927452087402e-01,-2.078705281019210815e-02,2.153930999338626862e-02,-8.326359093189239502e-03,-3.215488418936729431e-02,-5.018089432269334793e-04,-2.249570488929748535e-01,-1.198776140809059143e-01,2.055895477533340454e-01,2.641619800799320239e-01,1.481520914699670059e-02,3.571458449433809790e+01
