X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,U0,U1,U2
-1.254874467849731445e-01,-2.759035527706146240e-01,-5.630740523338317871e-02,-1.006290316581726074e-02,-1.822352111339569092e-01,2.537336573004722595e-02,4.881086647510528564e-01,-5.837551318109035492e-03,7.028767839074134827e-03,2.266630530357360840e-02,-5.171046592295169830e-03,6.846636533737182617e-04,-1.203185915946960449e-01,-1.550456136465072632e-01,3.360028266906738281e-01,1.318719778061679948e-01,7.869386398901100435e-03,1.967346599725280143e+01
-1.203676015138626099e-01,-2.772537171840667725e-01,-4.669865965843200684e-02,-7.323209196329116821e-03,-1.802612543106079102e-01,1.795688271522521973e-02,4.791805148124694824e-01,-6.470046937465667725e-03,7.984388619661331177e-03,2.365244366228580475e-02,-6.638487335294485092e-03,1.028229133225977421e-03,-1.241517737507820129e-01,-1.768412739038467407e-01,3.233620226383209229e-01,1.423855953991740031e-01,8.461018069394600147e-03,2.115254517348650154e+01
-1.153485178947448730e-01,-2.747129201889038086e-01,-3.731545805931091309e-02,-5.713041871786117554e-03,-1.791171431541442871e-01,1.113144308328628540e-02,4.639021754264831543e-01,-7.901597768068313599e-03,1.015625894069671631e-02,2.832337096333503723e-02,-5.917530972510576248e-03,1.384476781822741032e-03,-1.270928531885147095e-01,-1.941071599721908569e-01,3.112466931343078613e-01,1.524869402600619872e-01,9.023792894398800779e-03,2.255948223599699887e+01
-1.170237213373184204e-01,-2.782095372676849365e-01,-3.084483742713928223e-02,-2.956785261631011963e-03,-1.714577078819274902e-01,8.821353316307067871e-03,4.543684720993041992e-01,-8.210211992263793945e-03,1.058504264801740646e-02,2.146950177848339081e-02,-9.441563859581947327e-03,1.363159855827689171e-03,-1.355386078357696533e-01,-2.058793753385543823e-01,3.073524236679077148e-01,1.621920229138689995e-01,9.559105154525300574e-03,2.389776288631340151e+01
-1.162033006548881531e-01,-2.764185965061187744e-01,-2.633833885192871094e-02,4.491433501243591309e-04,-1.702770888805389404e-01,6.630808115005493164e-03,4.461742341518402100e-01,-8.874092251062393188e-03,1.122200489044189453e-02,2.345020323991775513e-02,-1.147990114986896515e-02,1.462362823076546192e-03,-1.412300020456314087e-01,-2.087158709764480591e-01,3.006745278835296631e-01,1.715166266244100013e-01,1.006831542419400066e-02,2.517078856048510005e+01
-1.143764257431030273e-01,-2.740972638130187988e-01,-2.502165734767913818e-02,4.692319780588150024e-03,-1.688219755887985229e-01,5.223058164119720459e-03,4.389190375804901123e-01,-9.707650169730186462e-03,1.129418518394231796e-02,2.377063035964965820e-02,-1.460979506373405457e-02,1.393568702042102814e-03,-1.441313475370407104e-01,-2.051226347684860229e-01,2.938941121101379395e-01,1.804755716108689956e-01,1.055268794334249943e-02,2.638171985835629840e+01
-1.123481094837188721e-01,-2.723936736583709717e-01,-2.247023582458496094e-02,7.761612534523010254e-03,-1.677882373332977295e-01,1.113139092922210693e-03,4.322503507137298584e-01,-1.060329191386699677e-02,1.216879021376371384e-02,2.418358251452445984e-02,-1.467308774590492249e-02,1.419312786310911179e-03,-1.473665088415145874e-01,-2.081961631774902344e-01,2.861353754997253418e-01,1.890832159621639863e-01,1.101343598558869943e-02,2.753358996397160041e+01
-1.099325567483901978e-01,-2.691283822059631348e-01,-2.092036604881286621e-02,1.125646382570266724e-02,-1.667828261852264404e-01,-2.824440598487854004e-04,4.239049255847930908e-01,-1.145335938781499863e-02,1.251312997192144394e-02,2.578801289200782776e-02,-1.713425293564796448e-02,1.387955970130860806e-03,-1.490990370512008667e-01,-2.049917131662368774e-01,2.791075408458709717e-01,1.973533742572169958e-01,1.145171531126370004e-02,2.862928827815920130e+01
-1.079978048801422119e-01,-2.656560540199279785e-01,-1.936897635459899902e-02,1.459602266550064087e-02,-1.655073761940002441e-01,-2.483591437339782715e-03,4.153820574283599854e-01,-1.232275366783142090e-02,1.316979154944419861e-02,2.694939263164997101e-02,-1.831717416644096375e-02,1.384130446240305901e-03,-1.515870690345764160e-01,-2.023654580116271973e-01,2.717894017696380615e-01,2.052992662655589995e-01,1.186862051622999958e-02,2.967155129057490015e+01
-1.065640300512313843e-01,-2.619407176971435547e-01,-1.926571130752563477e-02,1.786167174577713013e-02,-1.639305055141448975e-01,-4.825294017791748047e-03,4.077636599540710449e-01,-1.319116353988647461e-02,1.385111454874277115e-02,2.692952379584312439e-02,-1.850680448114871979e-02,1.366116106510162354e-03,-1.537728607654571533e-01,-1.974270343780517578e-01,2.649896740913391113e-01,2.129335945961429999e-01,1.226519293477009928e-02,3.066298233692529962e+01
-1.060090288519859314e-01,-2.584350705146789551e-01,-2.091073989868164062e-02,1.948775351047515869e-02,-1.623653024435043335e-01,-7.704384624958038330e-03,4.026718437671661377e-01,-1.390628144145011902e-02,1.475850865244865417e-02,2.549448609352111816e-02,-1.569463312625885010e-02,1.406644238159060478e-03,-1.545551568269729614e-01,-1.922993957996368408e-01,2.602677643299102783e-01,2.202685742053709927e-01,1.264242405431850041e-02,3.160606013579609908e+01
-1.047438755631446838e-01,-2.604351043701171875e-01,-2.311921119689941406e-02,1.570908725261688232e-02,-1.630615890026092529e-01,-7.272221148014068604e-03,4.075731039047241211e-01,-1.357698813080787659e-02,1.443858910351991653e-02,2.406936325132846832e-02,-1.358972582966089249e-02,1.405910472385585308e-03,-1.475700289011001587e-01,-1.959780901670455933e-01,2.644807994365692139e-01,2.202685742053709927e-01,1.264242405431850041e-02,3.160606013579609908e+01
-1.027742922306060791e-01,-2.594088017940521240e-01,-2.174866199493408203e-02,1.502865552902221680e-02,-1.637098789215087891e-01,-9.108774363994598389e-03,4.050681293010711670e-01,-1.386530511081218719e-02,1.508349366486072540e-02,2.593883313238620758e-02,-1.220877747982740402e-02,1.510720816440880299e-03,-1.459953039884567261e-01,-2.002471536397933960e-01,2.619141042232513428e-01,2.273159725375230034e-01,1.300125951098080046e-02,3.211380692069690213e+01
-1.009691506624221802e-01,-2.568783462047576904e-01,-2.174651622772216797e-02,1.535507291555404663e-02,-1.629004776477813721e-01,-9.888894855976104736e-03,3.999719917774200439e-01,-1.429412327706813812e-02,1.550116296857595444e-02,2.658397331833839417e-02,-1.188492588698863983e-02,1.545703154988586903e-03,-1.442738175392150879e-01,-1.985474973917007446e-01,2.588386833667755127e-01,2.340870137674679885e-01,1.334259239593029930e-02,3.267109897546809805e+01
