X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
-4.924528300762176514e-03,5.018320679664611816e-02,-5.150462687015533447e-02,1.005976647138595581e-02,5.979061126708984375e-02,-6.308560073375701904e-02,-2.404665470123291016e+00,1.764224022626876831e-01,1.496785998344421387e+00,-4.049902915954589844e+00,-2.404076217787903147e+00,1.577344697195063317e-01,1.440166351897706143e+00,-4.058771821101398558e+00
-3.564827144145965576e-03,4.957512021064758301e-02,-4.964451491832733154e-02,9.681649506092071533e-03,6.258696317672729492e-02,-6.097958981990814209e-02,-2.403533458709716797e+00,1.374963521957397461e-01,1.552093744277954102e+00,-4.045157432556152344e+00,-2.404155361582915873e+00,1.204078619414207796e-01,1.495570198153010955e+00,-4.051014800814850325e+00
-1.929976046085357666e-03,4.909396171569824219e-02,-4.779684543609619141e-02,9.484790265560150146e-03,6.484210491180419922e-02,-5.895133316516876221e-02,-2.402807474136352539e+00,1.011423915624618530e-01,1.603826642036437988e+00,-4.030930519104003906e+00,-2.404222721102417193e+00,8.299366179802612764e-02,1.549906166685699249e+00,-4.043036511559652268e+00
-7.063075900077819824e-04,4.855617880821228027e-02,-4.631952941417694092e-02,9.054295718669891357e-03,6.706619262695312500e-02,-5.698297917842864990e-02,-2.401571750640869141e+00,6.256560981273651123e-02,1.654749512672424316e+00,-4.023063182830810547e+00,-2.404279071837681414e+00,4.552264773498435751e-02,1.603187712508287843e+00,-4.034841476960782991e+00
6.459280848503112793e-04,4.810357093811035156e-02,-4.493290185928344727e-02,8.724488317966461182e-03,6.889665126800537109e-02,-5.508337914943695068e-02,-2.400492191314697266e+00,2.521760761737823486e-02,1.703243613243103027e+00,-4.010028362274169922e+00,-2.404325024893274598e+00,8.014560581305479880e-03,1.655426785565002890e+00,-4.026433662541998082e+00
1.728676259517669678e-03,4.762956500053405762e-02,-4.382091760635375977e-02,8.241519331932067871e-03,7.063120603561401367e-02,-5.323933064937591553e-02,-2.399260520935058594e+00,-1.331578195095062256e-02,1.750708103179931641e+00,-4.000444412231445312e+00,-2.404361241348101252e+00,-2.950602645335092394e-02,1.706636253620638977e+00,-4.017817287427491557e+00
2.858035266399383545e-03,4.721617698669433594e-02,-4.282964766025543213e-02,7.810838520526885986e-03,7.206898927688598633e-02,-5.145435035228729248e-02,-2.398089647293090820e+00,-5.124828219413757324e-02,1.796443104743957520e+00,-3.988065481185913086e+00,-2.404388347789881308e+00,-6.701603584078834330e-02,1.756828755870746717e+00,-4.008996490083630349e+00
3.806911408901214600e-03,4.680246114730834961e-02,-4.205137491226196289e-02,7.280059158802032471e-03,7.338398694992065430e-02,-4.972113668918609619e-02,-2.396983385086059570e+00,-8.978202939033508301e-02,1.841158866882324219e+00,-3.977597713470458984e+00,-2.404406975637244592e+00,-1.044923928395354029e-01,1.806017403281527045e+00,-3.999975387383797099e+00
4.758618772029876709e-03,4.643461108207702637e-02,-4.140070080757141113e-02,6.774514913558959961e-03,7.446706295013427734e-02,-4.803915321826934814e-02,-2.395904302597045898e+00,-1.279999911785125732e-01,1.884576439857482910e+00,-3.965660810470581055e+00,-2.404417691314005179e+00,-1.419142948193536924e-01,1.854214493083699455e+00,-3.990757994201697301e+00
5.586735904216766357e-03,4.607763886451721191e-02,-4.092152416706085205e-02,6.203219294548034668e-03,7.541966438293457031e-02,-4.640467464923858643e-02,-2.394995450973510742e+00,-1.665275990962982178e-01,1.927064061164855957e+00,-3.954782485961914062e+00,-2.404421047601809747e+00,-1.792613676278000112e-01,1.901432432071156198e+00,-3.981348293915777603e+00
