X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
1.849183440208435059e-01,1.528002917766571045e-01,-1.083381623029708862e-01,2.199205756187438965e-01,-2.057504415512084961e+00,5.500478744506835938e-01,2.178727626800537109e+00,-3.184556484222412109e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
1.828331351280212402e-01,1.496720016002655029e-01,-1.122270673513412476e-01,2.229645550251007080e-01,-2.058087825775146484e+00,5.329911708831787109e-01,2.198312282562255859e+00,-3.218455314636230469e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
1.806553900241851807e-01,1.466583907604217529e-01,-1.160573735833168030e-01,2.258227169513702393e-01,-2.058596611022949219e+00,5.143627524375915527e-01,2.217655181884765625e+00,-3.250902891159057617e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
1.783936917781829834e-01,1.437621712684631348e-01,-1.198255494236946106e-01,2.284986376762390137e-01,-2.059054613113403320e+00,4.942438006401062012e-01,2.236752033233642578e+00,-3.281918525695800781e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
1.760557889938354492e-01,1.409839987754821777e-01,-1.235289573669433594e-01,2.309973835945129395e-01,-2.059482097625732422e+00,4.727188348770141602e-01,2.255598545074462891e+00,-3.311529159545898438e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
1.736486852169036865e-01,1.383242607116699219e-01,-1.271655857563018799e-01,2.333241701126098633e-01,-2.059899330139160156e+00,4.498658776283264160e-01,2.274194478988647461e+00,-3.339764118194580078e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
1.711792051792144775e-01,1.357833743095397949e-01,-1.307331621646881104e-01,2.354832887649536133e-01,-2.060322523117065430e+00,4.257608056068420410e-01,2.292533874511718750e+00,-3.366646289825439453e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
1.686542928218841553e-01,1.333617568016052246e-01,-1.342298090457916260e-01,2.374798655509948730e-01,-2.060771465301513672e+00,4.004822373390197754e-01,2.310617685317993164e+00,-3.392207622528076172e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
1.660800278186798096e-01,1.310588717460632324e-01,-1.376538127660751343e-01,2.393187284469604492e-01,-2.061259746551513672e+00,3.741053342819213867e-01,2.328440666198730469e+00,-3.416473388671875000e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
1.634619832038879395e-01,1.288748383522033691e-01,-1.410037875175476074e-01,2.410040497779846191e-01,-2.061803579330444336e+00,3.466943502426147461e-01,2.346001625061035156e+00,-3.439468860626220703e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
1.608060896396636963e-01,1.268084049224853516e-01,-1.442789137363433838e-01,2.425415515899658203e-01,-2.062416076660156250e+00,3.183248043060302734e-01,2.363301753997802734e+00,-3.461231231689453125e+00,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
1.581169068813323975e-01,1.248587965965270996e-01,-1.474781781435012817e-01,2.439351677894592285e-01,-2.063107013702392578e+00,2.890563011169433594e-01,2.380337476730346680e+00,-3.481782197952270508e+00,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
1.553994119167327881e-01,1.230246424674987793e-01,-1.506006419658660889e-01,2.451899945735931396e-01,-2.063887119293212891e+00,2.589586973190307617e-01,2.397105455398559570e+00,-3.501151084899902344e+00,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
1.526586711406707764e-01,1.213055253028869629e-01,-1.536461114883422852e-01,2.463106513023376465e-01,-2.064772844314575195e+00,2.280899882316589355e-01,2.413613319396972656e+00,-3.519375562667846680e+00,-2.403984566334301576e+00,1.949481331581442989e-01,1.383680934647741445e+00,-4.066303291321023750e+00
1.498982310295104980e-01,1.196990609169006348e-01,-1.566140353679656982e-01,2.473011612892150879e-01,-2.065763235092163086e+00,1.965094804763793945e-01,2.429851293563842773e+00,-3.536473274230957031e+00,-2.404076217787903147e+00,1.577344697195063317e-01,1.440166351897706143e+00,-4.058771821101398558e+00
1.471227109432220459e-01,1.182048320770263672e-01,-1.595039367675781250e-01,2.481661736965179443e-01,-2.066874980926513672e+00,1.642752885818481445e-01,2.445825099945068359e+00,-3.552478790283203125e+00,-2.404155361582915873e+00,1.204078619414207796e-01,1.495570198153010955e+00,-4.051014800814850325e+00
1.443358361721038818e-01,1.168211102485656738e-01,-1.623159050941467285e-01,2.489098906517028809e-01,-2.068113803863525391e+00,1.314406394958496094e-01,2.461534976959228516e+00,-3.567421197891235352e+00,-2.404222721102417193e+00,8.299366179802612764e-02,1.549906166685699249e+00,-4.043036511559652268e+00
1.415405571460723877e-01,1.155454516410827637e-01,-1.650497317314147949e-01,2.495367527008056641e-01,-2.069482326507568359e+00,9.806102514266967773e-02,2.476976394653320312e+00,-3.581323146820068359e+00,-2.404279071837681414e+00,4.552264773498435751e-02,1.603187712508287843e+00,-4.034841476960782991e+00
1.387411057949066162e-01,1.143769025802612305e-01,-1.677054166793823242e-01,2.500505149364471436e-01,-2.070988416671752930e+00,6.418848037719726562e-02,2.492151737213134766e+00,-3.594215869903564453e+00,-2.404325024893274598e+00,8.014560581305479880e-03,1.655426785565002890e+00,-4.026433662541998082e+00
