X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
-6.132334470748901367e-03,-3.800532221794128418e-02,-3.251831233501434326e-02,1.847311258316040039e-01,-2.339329004287719727e+00,6.465067267417907715e-01,6.556437015533447266e-01,-4.008041381835937500e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
-5.633413791656494141e-03,-3.530523553490638733e-02,-3.340379893779754639e-02,1.833560168743133545e-01,-2.350565671920776367e+00,6.130458116531372070e-01,7.156904339790344238e-01,-4.009028434753417969e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
-5.151718854904174805e-03,-3.263945132493972778e-02,-3.430010378360748291e-02,1.819563210010528564e-01,-2.360975980758666992e+00,5.790178179740905762e-01,7.750582695007324219e-01,-4.009515285491943359e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
-4.687011241912841797e-03,-3.000824525952339172e-02,-3.520594537258148193e-02,1.805340498685836792e-01,-2.370592117309570312e+00,5.444706678390502930e-01,8.337335586547851562e-01,-4.009520530700683594e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
-4.239410161972045898e-03,-2.741192653775215149e-02,-3.612001240253448486e-02,1.790914535522460938e-01,-2.379457235336303711e+00,5.094477534294128418e-01,8.917025327682495117e-01,-4.009066104888916016e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
-3.808289766311645508e-03,-2.485025674104690552e-02,-3.704147040843963623e-02,1.776304990053176880e-01,-2.387604236602783203e+00,4.739929437637329102e-01,9.489680528640747070e-01,-4.008178710937500000e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
-3.393918275833129883e-03,-2.232339605689048767e-02,-3.796868026256561279e-02,1.761530935764312744e-01,-2.395074844360351562e+00,4.381498098373413086e-01,1.005513668060302734e+00,-4.006867408752441406e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
-2.995997667312622070e-03,-1.983118616044521332e-02,-3.890104591846466064e-02,1.746607124805450439e-01,-2.401897668838500977e+00,4.019471406936645508e-01,1.061340928077697754e+00,-4.005153656005859375e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
-2.614080905914306641e-03,-1.737362891435623169e-02,-3.983701765537261963e-02,1.731554567813873291e-01,-2.408108711242675781e+00,3.654423356056213379e-01,1.116439461708068848e+00,-4.003053665161132812e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
-2.247720956802368164e-03,-1.495053246617317200e-02,-4.077576100826263428e-02,1.716390550136566162e-01,-2.413740396499633789e+00,3.286738991737365723e-01,1.170809984207153320e+00,-4.000589370727539062e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
