X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
2.306803762912750244e-01,2.145330905914306641e-01,-2.355263829231262207e-01,-2.151302397251129150e-01,-2.102406978607177734e+00,-3.504511713981628418e-01,1.472582817077636719e+00,-1.954687237739562988e+00,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
2.256717830896377563e-01,2.136160135269165039e-01,-2.394443303346633911e-01,-2.179874330759048462e-01,-2.113688945770263672e+00,-3.845550417900085449e-01,1.504430055618286133e+00,-1.976784706115722656e+00,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
2.206621021032333374e-01,2.127549052238464355e-01,-2.432457208633422852e-01,-2.207970023155212402e-01,-2.124925374984741211e+00,-4.184383749961853027e-01,1.536044597625732422e+00,-1.998490810394287109e+00,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
2.156533449888229370e-01,2.119477093219757080e-01,-2.469325512647628784e-01,-2.235594838857650757e-01,-2.136109352111816406e+00,-4.520914256572723389e-01,1.567418456077575684e+00,-2.019803524017333984e+00,-2.403984566334301576e+00,1.949481331581442989e-01,1.383680934647741445e+00,-4.066303291321023750e+00
2.106490135192871094e-01,2.111920565366744995e-01,-2.505059838294982910e-01,-2.262754142284393311e-01,-2.147231101989746094e+00,-4.854932427406311035e-01,1.598538398742675781e+00,-2.040718078613281250e+00,-2.404076217787903147e+00,1.577344697195063317e-01,1.440166351897706143e+00,-4.058771821101398558e+00
2.056511789560317993e-01,2.104861140251159668e-01,-2.539677321910858154e-01,-2.289447486400604248e-01,-2.158283233642578125e+00,-5.186336636543273926e-01,1.629394292831420898e+00,-2.061230659484863281e+00,-2.404155361582915873e+00,1.204078619414207796e-01,1.495570198153010955e+00,-4.051014800814850325e+00
2.006620764732360840e-01,2.098279893398284912e-01,-2.573197484016418457e-01,-2.315682023763656616e-01,-2.169260025024414062e+00,-5.515010356903076172e-01,1.659978985786437988e+00,-2.081341743469238281e+00,-2.404222721102417193e+00,8.299366179802612764e-02,1.549906166685699249e+00,-4.043036511559652268e+00
1.956844180822372437e-01,2.092155218124389648e-01,-2.605634927749633789e-01,-2.341459393501281738e-01,-2.180152654647827148e+00,-5.840808749198913574e-01,1.690280437469482422e+00,-2.101047039031982422e+00,-2.404279071837681414e+00,4.552264773498435751e-02,1.603187712508287843e+00,-4.034841476960782991e+00
1.907197535037994385e-01,2.086472660303115845e-01,-2.637008428573608398e-01,-2.366781532764434814e-01,-2.190955877304077148e+00,-6.163657903671264648e-01,1.720291852951049805e+00,-2.120346069335937500e+00,-2.404325024893274598e+00,8.014560581305479880e-03,1.655426785565002890e+00,-4.026433662541998082e+00
1.857703030109405518e-01,2.081213891506195068e-01,-2.667337059974670410e-01,-2.391651868820190430e-01,-2.201664209365844727e+00,-6.483455896377563477e-01,1.750005125999450684e+00,-2.139238119125366211e+00,-2.404361241348101252e+00,-2.950602645335092394e-02,1.706636253620638977e+00,-4.017817287427491557e+00
