-1.261029765009880066e-02,1.139129325747489929e-02,-4.338674992322921753e-02,-2.222612127661705017e-02,2.534893527626991272e-02,2.946135029196739197e-02
-1.354533620178699493e-02,1.555214636027812958e-02,-4.655339568853378296e-02,-2.369412034749984741e-02,8.176918141543865204e-03,2.747226692736148834e-02
-1.598857156932353973e-02,2.347662486135959625e-02,-5.148401111364364624e-02,-1.910617202520370483e-02,3.372821956872940063e-03,2.218712121248245239e-02
-1.823103800415992737e-02,3.270388022065162659e-02,-5.432233959436416626e-02,-1.715362444519996643e-02,-3.985494375228881836e-03,2.057853899896144867e-02
-2.055953070521354675e-02,4.061025008559226990e-02,-5.833351612091064453e-02,-1.455606520175933838e-02,-1.103761792182922363e-02,1.743104681372642517e-02
-1.332240551710128784e-02,1.519797928631305695e-02,-7.371155172586441040e-02,-3.139068931341171265e-02,-3.275400027632713318e-02,4.308700561523437500e-03
-1.801797747611999512e-02,1.493075117468833923e-02,-8.250458538532257080e-02,-3.603900223970413208e-02,-2.320810779929161072e-02,5.523223429918289185e-03
-2.122806012630462646e-02,1.323308981955051422e-02,-8.945867419242858887e-02,-4.412584006786346436e-02,-1.972093619406223297e-02,8.319307118654251099e-03
-2.470296621322631836e-02,1.085872761905193329e-02,-9.701353311538696289e-02,-5.031516402959823608e-02,-1.544612832367420197e-02,9.179409593343734741e-03
-2.793695777654647827e-02,9.321479126811027527e-03,-1.037177518010139465e-01,-5.680424720048904419e-02,-1.171104237437248230e-02,1.050749048590660095e-02
-3.121764957904815674e-02,7.765665650367736816e-03,-1.101940870285034180e-01,-6.274656951427459717e-02,-8.173969574272632599e-03,1.142241433262825012e-02
-3.440638631582260132e-02,6.510064005851745605e-03,-1.162851229310035706e-01,-6.848939508199691772e-02,-4.926979541778564453e-03,1.221131160855293274e-02
-3.757078945636749268e-02,5.435563623905181885e-03,-1.220793873071670532e-01,-7.393488287925720215e-02,-1.916801556944847107e-03,1.281318813562393188e-02
-4.069041460752487183e-02,4.567068070173263550e-03,-1.275883018970489502e-01,-7.913942635059356689e-02,8.536539971828460693e-04,1.325806044042110443e-02
-4.377755522727966309e-02,3.885932266712188721e-03,-1.328413933515548706e-01,-8.410579711198806763e-02,3.401875495910644531e-03,1.355271786451339722e-02
-6.686632335186004639e-02,-1.913794130086898804e-02,-1.235792040824890137e-01,-8.386445045471191406e-02,7.048001512885093689e-03,1.430639624595642090e-02
-6.612310558557510376e-02,-2.341236174106597900e-02,-1.198768243193626404e-01,-9.528000652790069580e-02,1.452320255339145660e-02,-2.248393371701240540e-03
-7.627950608730316162e-02,-2.746770530939102173e-02,-1.102830693125724792e-01,-1.037836968898773193e-01,2.598538994789123535e-02,-4.513815045356750488e-03
-8.244711160659790039e-02,-3.425744175910949707e-02,-1.035456359386444092e-01,-1.135977655649185181e-01,3.357223048806190491e-02,-1.284894347190856934e-02
-9.002451598644256592e-02,-3.997170925140380859e-02,-9.606175869703292847e-02,-1.226127296686172485e-01,4.326930269598960876e-02,-1.933298073709011078e-02
-9.699060022830963135e-02,-4.589756578207015991e-02,-8.882661163806915283e-02,-1.322271674871444702e-01,5.228138342499732971e-02,-2.619788050651550293e-02
-1.042768508195877075e-01,-5.198409408330917358e-02,-8.160416781902313232e-02,-1.416026949882507324e-01,6.159802526235580444e-02,-3.284195065498352051e-02
-1.113759875297546387e-01,-5.807100981473922729e-02,-7.448513805866241455e-02,-1.511507928371429443e-01,7.088886201381683350e-02,-3.955359011888504028e-02
-1.185546964406967163e-01,-6.423650681972503662e-02,-6.739280372858047485e-02,-1.606852412223815918e-01,8.028624951839447021e-02,-4.613553360104560852e-02
-1.256799250841140747e-01,-7.046470046043395996e-02,-6.037121638655662537e-02,-1.702786833047866821e-01,8.971306681632995605e-02,-5.271001532673835754e-02
-1.290726512670516968e-01,-2.815436385571956635e-02,-5.427790433168411255e-02,-1.739641726016998291e-01,1.109398752450942993e-01,-4.347569122910499573e-02
-1.366591751575469971e-01,-2.554184943437576294e-02,-5.935539305210113525e-02,-1.773496717214584351e-01,9.627759456634521484e-02,-4.600634425878524780e-02
-1.424701064825057983e-01,-1.729320548474788666e-02,-6.646865606307983398e-02,-1.769752055406570435e-01,9.251581132411956787e-02,-5.358443036675453186e-02
-1.483740806579589844e-01,-7.441163063049316406e-03,-7.134236395359039307e-02,-1.789165139198303223e-01,8.709058165550231934e-02,-5.736718699336051941e-02
-1.545018255710601807e-01,8.737724274396896362e-04,-7.715579867362976074e-02,-1.800976991653442383e-01,8.143395185470581055e-02,-6.242808327078819275e-02
-1.604883223772048950e-01,9.716667234897613525e-03,-8.278080075979232788e-02,-1.814866364002227783e-01,7.614673674106597900e-02,-6.723500788211822510e-02
-1.665287911891937256e-01,1.839137077331542969e-02,-8.842819184064865112e-02,-1.829130649566650391e-01,7.077891379594802856e-02,-7.198883593082427979e-02
-1.725614964962005615e-01,2.702388167381286621e-02,-9.411601722240447998e-02,-1.843591332435607910e-01,6.548283994197845459e-02,-7.676627486944198608e-02
-1.785988807678222656e-01,3.563190624117851257e-02,-9.980897605419158936e-02,-1.858497858047485352e-01,6.023027002811431885e-02,-8.150863647460937500e-02
-1.846427917480468750e-01,4.419578611850738525e-02,-1.055209040641784668e-01,-1.873733401298522949e-01,5.501510947942733765e-02,-8.624042570590972900e-02
-1.823467016220092773e-01,7.044314593076705933e-02,-1.105889007449150085e-01,-1.713537573814392090e-01,6.626982241868972778e-02,-9.511038661003112793e-02
-1.830808967351913452e-01,8.395734429359436035e-02,-1.092562898993492126e-01,-1.669212877750396729e-01,4.774844646453857422e-02,-8.945930749177932739e-02
-1.824264079332351685e-01,9.373643994331359863e-02,-1.151486411690711975e-01,-1.576214134693145752e-01,3.639949113130569458e-02,-9.538021683692932129e-02
-1.822220236063003540e-01,1.067208051681518555e-01,-1.178390905261039734e-01,-1.502906233072280884e-01,2.472976781427860260e-02,-9.585723280906677246e-02
-1.819152683019638062e-01,1.178472265601158142e-01,-1.219087541103363037e-01,-1.427867114543914795e-01,1.289441343396902084e-02,-9.795922785997390747e-02
-1.816457360982894897e-01,1.293249130249023438e-01,-1.258461773395538330e-01,-1.355679929256439209e-01,1.622717827558517456e-03,-9.949731081724166870e-02
-1.814093440771102905e-01,1.404704749584197998e-01,-1.300121992826461792e-01,-1.285988688468933105e-01,-9.558198973536491394e-03,-1.009822785854339600e-01
-1.812096089124679565e-01,1.514656990766525269e-01,-1.343590319156646729e-01,-1.218361109495162964e-01,-2.048113755881786346e-02,-1.023864299058914185e-01
-1.810590475797653198e-01,1.623108685016632080e-01,-1.388663649559020996e-01,-1.152967363595962524e-01,-3.121473826467990875e-02,-1.036919131875038147e-01
-1.809626072645187378e-01,1.730126887559890747e-01,-1.435429453849792480e-01,-1.089641973376274109e-01,-4.176101833581924438e-02,-1.049333661794662476e-01
-1.878278553485870361e-01,1.254815012216567993e-01,-1.463964134454727173e-01,-1.323262155055999756e-01,-7.301294803619384766e-02,-1.198193654417991638e-01
-1.982947736978530884e-01,1.136307269334793091e-01,-1.457738280296325684e-01,-1.358516663312911987e-01,-5.360521003603935242e-02,-1.318456381559371948e-01
-2.030645012855529785e-01,1.100291609764099121e-01,-1.396785378456115723e-01,-1.517168581485748291e-01,-4.155048355460166931e-02,-1.353552043437957764e-01
-2.125915884971618652e-01,9.984795749187469482e-02,-1.347032189369201660e-01,-1.624950170516967773e-01,-2.953519672155380249e-02,-1.395798772573471069e-01
-2.193260490894317627e-01,9.144946932792663574e-02,-1.301788836717605591e-01,-1.746062189340591431e-01,-1.797410100698471069e-02,-1.456341296434402466e-01
-2.270803302526473999e-01,8.316998183727264404e-02,-1.249869763851165771e-01,-1.861175298690795898e-01,-5.956340581178665161e-03,-1.503592878580093384e-01
-2.343378812074661255e-01,7.473365962505340576e-02,-1.199612095952033997e-01,-1.976564228534698486e-01,5.567152053117752075e-03,-1.556415855884552002e-01
-2.416507750749588013e-01,6.644995510578155518e-02,-1.147718504071235657e-01,-2.089745849370956421e-01,1.716207712888717651e-02,-1.607476770877838135e-01
-2.488275915384292603e-01,5.820813030004501343e-02,-1.095283851027488708e-01,-2.202098667621612549e-01,2.859640866518020630e-02,-1.659037172794342041e-01
-2.559547424316406250e-01,5.002152919769287109e-02,-1.042103618383407593e-01,-2.313079982995986938e-01,3.996017947793006897e-02,-1.710424125194549561e-01
-2.331599891185760498e-01,8.113650977611541748e-02,-1.140744909644126892e-01,-2.180792689323425293e-01,7.190562784671783447e-02,-1.860771179199218750e-01
-2.316596508026123047e-01,8.466666936874389648e-02,-1.057067587971687317e-01,-2.134840339422225952e-01,5.817852914333343506e-02,-1.587281525135040283e-01
-2.214353084564208984e-01,8.134452253580093384e-02,-1.125524938106536865e-01,-2.017862200736999512e-01,5.639144033193588257e-02,-1.617428362369537354e-01
-2.132819890975952148e-01,8.453004062175750732e-02,-1.117218360304832458e-01,-1.950865387916564941e-01,4.960173740983009338e-02,-1.505441814661026001e-01
-2.047871202230453491e-01,8.452932536602020264e-02,-1.145082861185073853e-01,-1.856175661087036133e-01,4.539041593670845032e-02,-1.456962525844573975e-01
-1.964028775691986084e-01,8.602828532457351685e-02,-1.156515330076217651e-01,-1.775506734848022461e-01,3.980313986539840698e-02,-1.379561573266983032e-01
-1.880106627941131592e-01,8.689591288566589355e-02,-1.176240071654319763e-01,-1.688179522752761841e-01,3.486983105540275574e-02,-1.316301822662353516e-01
-1.796697080135345459e-01,8.812001347541809082e-02,-1.192410513758659363e-01,-1.604188680648803711e-01,2.958285808563232422e-02,-1.246532499790191650e-01
-1.713457405567169189e-01,8.923050761222839355e-02,-1.210751757025718689e-01,-1.518722772598266602e-01,2.443376928567886353e-02,-1.180286854505538940e-01
-1.630581766366958618e-01,9.045371413230895996e-02,-1.228480339050292969e-01,-1.434106528759002686e-01,1.918470486998558044e-02,-1.112683415412902832e-01
-1.850379258394241333e-01,1.106338798999786377e-01,-1.009559482336044312e-01,-1.289752125740051270e-01,2.306381240487098694e-02,-8.640012145042419434e-02
-1.826885342597961426e-01,1.128536462783813477e-01,-1.020946502685546875e-01,-1.276601254940032959e-01,2.689249813556671143e-03,-1.018183082342147827e-01
-1.861640661954879761e-01,1.240966022014617920e-01,-9.750061482191085815e-02,-1.200787499547004700e-01,-9.124651551246643066e-04,-1.078999266028404236e-01
-1.878027468919754028e-01,1.334280222654342651e-01,-9.330753982067108154e-02,-1.167240887880325317e-01,-1.044823974370956421e-02,-1.135279536247253418e-01
-1.902406811714172363e-01,1.414587050676345825e-01,-9.017123281955718994e-02,-1.122703999280929565e-01,-1.785545796155929565e-02,-1.199421882629394531e-01
-1.924422681331634521e-01,1.496995240449905396e-01,-8.696895837783813477e-02,-1.086609065532684326e-01,-2.485086396336555481e-02,-1.256540119647979736e-01
-1.947866529226303101e-01,1.572937518358230591e-01,-8.415070176124572754e-02,-1.054026484489440918e-01,-3.150840848684310913e-02,-1.312082856893539429e-01
-1.971755772829055786e-01,1.645399779081344604e-01,-8.162125200033187866e-02,-1.025078371167182922e-01,-3.766791522502899170e-02,-1.365757882595062256e-01
-1.996285170316696167e-01,1.714401990175247192e-01,-7.934966683387756348e-02,-9.998654574155807495e-02,-4.342944920063018799e-02,-1.417272388935089111e-01
-2.021485418081283569e-01,1.779993623495101929e-01,-7.734141498804092407e-02,-9.780541062355041504e-02,-4.881045222282409668e-02,-1.467081308364868164e-01
-1.948033571243286133e-01,1.462609618902206421e-01,-9.339985996484756470e-02,-1.231717616319656372e-01,-7.509607076644897461e-02,-1.643088012933731079e-01
-2.036168277263641357e-01,1.407490521669387817e-01,-1.001045405864715576e-01,-1.260888725519180298e-01,-5.732234939932823181e-02,-1.633175462484359741e-01
-2.050458788871765137e-01,1.369770169258117676e-01,-1.048594862222671509e-01,-1.397059857845306396e-01,-4.995484650135040283e-02,-1.617364734411239624e-01
-2.111822664737701416e-01,1.294035464525222778e-01,-1.098886057734489441e-01,-1.475926488637924194e-01,-4.179415851831436157e-02,-1.600679159164428711e-01
-2.142191678285598755e-01,1.241728216409683228e-01,-1.147178858518600464e-01,-1.571946442127227783e-01,-3.395643830299377441e-02,-1.602560430765151978e-01
-2.186288535594940186e-01,1.187356337904930115e-01,-1.186811178922653198e-01,-1.656243801116943359e-01,-2.642625197768211365e-02,-1.591475605964660645e-01
-2.223266810178756714e-01,1.135444343090057373e-01,-1.225939318537712097e-01,-1.739129573106765747e-01,-1.939719542860984802e-02,-1.590451002120971680e-01
